meetId,finalPlaceId,finalTime
1,1477,2023-10-27 18:00:00
2,1309,2023-04-02 13:00:00
3,386,2023-09-08 13:30:00
4,880,2022-12-06 20:15:00
5,502,2023-08-06 22:00:00
6,939,2022-01-27 19:00:00
7,1154,2022-06-02 13:30:00
8,858,2023-08-31 20:00:00
9,650,2023-12-18 08:15:00
10,866,2022-11-28 17:15:00
11,1033,2023-08-08 21:15:00
12,196,2022-05-27 13:30:00
13,378,2023-06-10 11:15:00
14,1177,2023-03-07 17:45:00
15,875,2023-09-06 15:30:00
16,1225,2023-06-17 13:15:00
17,1097,2024-09-05 19:30:00
18,1065,2024-03-01 12:30:00
19,653,2023-03-20 10:45:00
20,1031,2024-08-07 13:00:00
21,586,2023-01-31 16:30:00
22,1226,2023-05-20 16:45:00
23,836,2024-03-15 16:45:00
24,633,2022-07-18 21:15:00
25,751,2023-02-07 18:00:00
28,800,2023-01-19 11:30:00
29,793,2022-04-02 16:15:00
30,1465,2022-11-26 21:15:00
31,521,2022-10-10 15:00:00
32,587,2023-05-24 15:45:00
33,840,2023-09-14 19:45:00
34,156,2024-09-20 13:45:00
35,1299,2023-10-20 16:45:00
36,1430,2022-07-13 18:15:00
38,580,2024-08-27 20:30:00
40,669,2024-09-08 17:45:00
41,961,2022-05-15 18:30:00
42,1101,2023-05-19 09:45:00
43,1040,2022-06-29 13:00:00
44,217,2022-07-18 14:00:00
45,1141,2024-07-13 15:15:00
46,803,2022-11-30 21:45:00
47,863,2023-09-02 13:30:00
49,1422,2023-11-12 19:00:00
51,552,2023-08-24 12:45:00
53,1035,2023-10-18 12:30:00
54,1324,2022-09-17 20:45:00
55,587,2024-05-29 18:30:00
56,147,2022-06-23 14:30:00
57,122,2024-05-21 11:45:00
58,311,2022-07-04 18:30:00
59,390,2022-11-06 18:30:00
60,359,2024-05-07 17:30:00
61,731,2022-11-30 13:30:00
62,29,2022-12-21 14:00:00
63,1189,2022-08-04 17:15:00
64,338,2024-09-05 14:15:00
65,666,2023-10-25 16:00:00
67,718,2022-09-06 18:30:00
68,632,2022-03-31 22:15:00
69,895,2022-09-06 13:00:00
70,642,2023-01-14 15:30:00
71,266,2024-08-16 18:45:00
72,1347,2024-01-23 16:00:00
73,829,2022-04-29 17:15:00
75,1470,2022-09-07 11:00:00
76,1089,2023-11-05 17:00:00
77,956,2023-11-14 10:30:00
78,416,2022-05-17 14:15:00
80,529,2024-02-08 14:15:00
81,267,2023-11-18 14:15:00
82,447,2022-07-29 12:45:00
83,82,2024-10-23 15:45:00
84,443,2023-02-20 14:00:00
85,152,2024-03-14 21:00:00
86,368,2024-08-25 12:00:00
87,1303,2022-09-06 21:30:00
89,1015,2022-04-21 12:45:00
90,524,2022-09-24 09:30:00
91,170,2022-11-20 20:00:00
92,204,2022-01-28 13:15:00
93,1232,2022-05-03 14:45:00
94,1089,2024-10-22 21:15:00
95,925,2022-02-25 17:45:00
96,22,2023-08-04 16:30:00
97,1158,2024-08-14 19:15:00
99,828,2022-04-26 19:45:00
100,1520,2023-11-13 15:15:00
101,287,2023-03-18 12:00:00
104,640,2024-10-15 17:30:00
105,242,2024-09-19 08:45:00
106,846,2024-06-21 15:15:00
107,571,2022-04-29 11:30:00
108,571,2024-08-21 14:30:00
109,198,2023-05-08 13:45:00
110,1078,2023-10-22 11:30:00
111,336,2022-02-07 17:15:00
112,161,2022-11-13 20:30:00
114,860,2024-08-24 19:30:00
115,578,2022-12-01 13:30:00
116,712,2023-09-16 16:00:00
117,228,2023-09-10 18:30:00
118,467,2024-06-30 12:15:00
119,979,2024-01-25 17:00:00
120,222,2024-07-03 20:45:00
121,961,2022-06-11 18:00:00
122,1498,2023-02-05 21:45:00
123,1386,2022-07-17 18:15:00
124,828,2023-03-30 16:15:00
125,76,2023-11-21 21:30:00
126,476,2023-03-25 13:15:00
127,1016,2022-05-17 19:00:00
128,1111,2024-01-31 12:45:00
129,562,2023-08-22 18:45:00
130,1068,2022-07-29 18:45:00
131,993,2024-03-20 14:15:00
132,703,2022-06-17 10:15:00
133,1348,2022-08-26 15:15:00
134,114,2023-06-06 09:15:00
135,124,2023-09-20 13:15:00
137,254,2022-05-13 16:30:00
138,1291,2022-12-11 17:00:00
139,651,2023-12-15 17:45:00
140,1351,2022-11-20 21:00:00
141,601,2022-03-06 19:15:00
142,1115,2023-05-28 14:30:00
143,954,2024-02-24 14:15:00
144,221,2024-10-25 15:30:00
145,129,2024-09-08 15:45:00
147,205,2022-04-21 18:15:00
148,74,2023-02-25 20:45:00
149,50,2022-09-01 17:45:00
150,319,2022-08-14 17:45:00
151,66,2024-01-21 22:00:00
152,1025,2022-03-16 15:00:00
153,1397,2022-05-26 19:15:00
155,1095,2024-11-14 14:45:00
156,375,2023-11-09 17:00:00
157,138,2024-09-17 17:00:00
159,376,2023-08-15 19:15:00
160,1317,2023-10-11 13:45:00
161,110,2022-06-21 15:15:00
162,630,2023-10-21 20:30:00
163,381,2023-04-09 17:15:00
164,1085,2024-03-31 10:45:00
166,1035,2022-03-07 13:00:00
167,298,2024-04-05 16:15:00
168,522,2024-05-15 12:00:00
169,877,2024-04-11 19:15:00
170,640,2022-06-30 18:00:00
171,1234,2023-02-21 17:30:00
172,943,2024-03-03 15:30:00
173,930,2023-06-14 15:15:00
174,1116,2023-03-01 18:45:00
175,1036,2023-11-15 14:15:00
176,1398,2023-03-21 12:45:00
177,748,2023-05-20 17:00:00
178,12,2024-11-16 11:00:00
179,1374,2023-06-23 17:30:00
180,705,2022-02-28 13:15:00
181,921,2022-03-29 10:00:00
182,487,2024-05-08 11:00:00
183,396,2023-08-27 20:00:00
184,134,2023-08-08 18:30:00
