meet_id,final_place_id,final_time
1,106,2022-03-18 17:15:00
3,1385,2023-02-19 19:00:00
5,1176,2022-01-15 17:45:00
6,871,2024-03-06 20:15:00
8,1332,2022-07-18 18:45:00
9,1095,2023-01-28 20:30:00
10,133,2023-08-13 19:45:00
11,301,2023-09-25 13:45:00
12,322,2024-02-28 13:00:00
13,728,2022-03-03 21:00:00
15,100,2022-04-12 15:00:00
16,896,2022-09-11 12:00:00
18,1190,2022-12-08 16:15:00
20,19,2022-09-18 14:15:00
21,1050,2023-06-12 21:00:00
22,429,2023-10-01 18:00:00
23,1425,2024-03-04 20:15:00
25,1389,2024-09-14 14:45:00
26,382,2022-06-22 15:45:00
27,611,2024-05-13 20:30:00
28,877,2024-03-22 11:15:00
29,1310,2023-09-02 11:00:00
30,574,2023-01-16 17:45:00
31,990,2023-07-06 17:15:00
32,983,2024-10-23 14:45:00
33,1015,2024-01-29 17:30:00
34,710,2022-05-05 15:15:00
35,1328,2023-01-24 14:00:00
36,1073,2023-08-13 17:30:00
37,3,2024-09-20 19:00:00
39,102,2022-01-16 11:15:00
40,295,2023-03-12 12:30:00
42,389,2023-11-27 16:15:00
44,746,2023-09-24 19:30:00
45,1254,2023-03-11 14:15:00
46,540,2023-05-29 15:15:00
48,535,2023-12-26 10:45:00
49,1167,2022-05-08 18:15:00
50,1401,2022-04-05 13:15:00
52,826,2022-02-23 17:00:00
53,1256,2022-03-12 21:00:00
54,1109,2023-09-28 11:00:00
55,780,2023-11-15 12:45:00
56,1101,2022-05-22 22:00:00
57,1006,2023-03-02 14:00:00
59,1246,2023-11-26 20:45:00
60,600,2022-08-04 12:15:00
61,872,2023-03-18 18:15:00
62,473,2023-11-25 15:45:00
63,420,2022-12-13 16:45:00
64,198,2023-05-13 14:30:00
65,1123,2024-03-01 16:45:00
66,1379,2022-07-31 14:30:00
67,1035,2023-12-06 15:30:00
68,1015,2024-02-15 19:00:00
69,1281,2022-04-17 20:15:00
70,653,2023-02-09 12:15:00
71,580,2022-03-03 16:00:00
72,128,2022-09-14 19:15:00
73,1138,2023-03-07 11:45:00
75,371,2023-06-19 16:45:00
76,897,2022-02-24 16:45:00
77,731,2024-10-20 12:15:00
78,713,2022-08-24 16:45:00
79,349,2024-10-27 13:15:00
80,276,2023-09-19 16:45:00
81,180,2022-05-22 16:30:00
82,642,2023-05-11 19:15:00
83,1051,2024-01-24 16:30:00
84,292,2023-03-29 15:45:00
86,670,2023-04-22 14:15:00
87,1395,2022-03-27 14:00:00
88,227,2023-09-09 15:30:00
89,277,2023-10-04 16:30:00
90,732,2023-08-26 13:30:00
92,927,2022-06-02 11:00:00
93,905,2024-10-17 18:30:00
94,1017,2022-06-27 13:15:00
95,1202,2023-02-21 17:00:00
97,1377,2024-12-05 17:30:00
98,38,2024-08-20 20:45:00
99,1056,2023-01-07 19:00:00
101,1159,2023-10-03 19:00:00
102,1316,2024-10-25 16:30:00
103,491,2022-01-22 18:00:00
104,528,2024-08-12 19:15:00
105,287,2022-12-31 15:45:00
106,423,2022-07-11 17:30:00
107,1398,2024-11-14 20:45:00
109,345,2022-04-05 16:00:00
110,1121,2022-08-15 19:15:00
111,310,2024-11-20 10:45:00
112,546,2023-11-02 16:30:00
113,1501,2023-02-22 14:00:00
114,1059,2022-04-12 12:15:00
117,643,2024-04-02 18:00:00
118,7,2022-09-23 19:00:00
119,541,2022-09-18 11:45:00
120,191,2022-08-24 12:30:00
121,506,2023-09-25 19:45:00
122,1420,2022-11-19 16:30:00
123,1232,2022-07-23 20:15:00
125,1299,2022-09-20 15:00:00
126,571,2024-07-11 16:30:00
127,1536,2024-01-16 13:45:00
128,1131,2024-08-27 18:15:00
130,429,2022-04-05 18:00:00
131,604,2024-05-19 17:30:00
133,1358,2023-08-17 15:30:00
134,235,2023-10-24 11:00:00
135,623,2024-01-29 14:30:00
136,132,2024-02-21 12:00:00
137,284,2022-01-16 13:30:00
139,700,2024-08-02 15:30:00
140,857,2024-11-18 10:15:00
142,226,2022-06-15 13:30:00
143,1290,2024-11-29 16:30:00
146,444,2023-11-24 13:30:00
147,1317,2023-12-22 14:45:00
148,1276,2024-03-06 15:15:00
149,1319,2023-02-26 18:15:00
150,842,2024-09-05 19:45:00
151,459,2022-02-02 19:15:00
152,1475,2023-12-14 12:15:00
154,595,2022-02-11 15:15:00
155,459,2023-12-10 15:00:00
156,78,2023-06-28 15:15:00
157,1039,2023-06-03 12:00:00
158,1311,2022-11-28 18:45:00
159,993,2023-09-30 21:15:00
160,1493,2024-06-23 17:45:00
161,722,2024-03-24 09:45:00
162,1470,2024-02-06 17:45:00
163,843,2022-10-28 18:45:00
165,194,2022-07-09 10:45:00
166,452,2024-04-19 20:00:00
167,273,2023-08-02 19:30:00
168,183,2023-11-15 13:30:00
169,835,2023-10-03 16:00:00
170,1356,2023-05-14 14:30:00
172,360,2023-10-16 10:30:00
173,1300,2024-03-06 17:45:00
174,620,2024-01-19 22:00:00
175,454,2023-09-03 21:15:00
176,719,2022-05-07 19:30:00
177,1489,2022-05-14 17:30:00
178,583,2024-06-22 13:15:00
179,373,2024-11-07 12:00:00
180,983,2023-06-16 20:15:00
182,1303,2023-07-30 22:00:00
183,291,2024-08-12 20:15:00
184,1384,2023-04-18 20:00:00
185,1130,2022-01-13 14:45:00
186,1140,2023-12-02 10:15:00
187,1221,2022-03-10 17:15:00
188,595,2022-11-25 14:15:00
192,777,2024-03-07 17:45:00
194,544,2023-06-29 22:30:00
195,1484,2023-06-30 10:45:00
196,1005,2022-11-16 16:00:00
197,685,2022-12-01 19:30:00
198,389,2023-11-13 20:15:00
199,305,2022-07-20 18:45:00
200,275,2022-07-02 17:15:00
201,538,2023-01-16 17:45:00
202,1062,2023-02-11 21:15:00
203,486,2024-08-11 21:45:00
204,1444,2024-11-07 18:30:00
205,1012,2024-09-18 16:15:00
206,242,2023-03-25 16:15:00
207,852,2022-03-24 18:00:00
208,338,2023-04-27 16:15:00
209,516,2024-11-02 16:45:00
210,1528,2023-04-02 14:00:00
211,1147,2022-12-27 19:30:00
212,617,2022-03-14 14:15:00
213,316,2024-03-18 13:30:00
214,13,2024-07-11 11:00:00
216,1350,2023-02-11 13:45:00
217,1141,2023-09-29 15:15:00
218,334,2024-03-11 19:30:00
219,321,2024-07-26 14:45:00
220,1512,2024-02-23 17:30:00
221,3,2022-03-02 18:30:00
222,1405,2022-03-29 18:00:00
223,836,2024-01-28 08:15:00
224,348,2023-12-30 12:15:00
225,1308,2024-06-17 12:00:00
226,579,2022-11-18 12:00:00
227,792,2022-11-01 16:45:00
228,1297,2022-03-08 19:00:00
229,695,2023-12-13 13:15:00
230,561,2023-02-18 17:30:00
232,105,2023-11-11 17:45:00
233,1021,2024-11-12 16:15:00
234,1012,2024-01-20 19:15:00
235,23,2023-09-04 17:45:00
236,154,2024-06-13 17:30:00
237,794,2022-06-18 17:15:00
238,1089,2022-08-21 17:00:00
239,488,2024-02-17 19:45:00
240,740,2024-05-29 18:30:00
241,1500,2023-05-18 18:15:00
242,1251,2023-06-04 19:45:00
243,667,2024-09-08 19:30:00
244,784,2023-01-28 19:00:00
245,195,2022-03-24 12:30:00
247,691,2022-02-03 20:30:00
249,1093,2022-05-15 19:30:00
250,892,2024-08-14 21:30:00
251,1134,2024-05-03 20:30:00
252,760,2024-05-03 17:00:00
253,988,2023-02-22 11:00:00
255,408,2024-10-26 21:00:00
256,213,2023-08-12 14:45:00
257,714,2023-07-27 11:30:00
258,713,2023-02-28 20:15:00
259,925,2022-07-07 13:30:00
260,409,2024-07-11 12:45:00
261,1133,2023-12-01 20:15:00
262,165,2022-03-13 18:00:00
263,620,2022-08-03 14:00:00
264,749,2022-07-26 19:30:00
265,1459,2022-03-06 11:00:00
266,550,2023-12-26 13:30:00
267,904,2024-03-18 16:45:00
268,1179,2024-01-09 15:15:00
269,375,2024-01-06 17:30:00
270,1274,2024-04-12 09:45:00
271,556,2024-05-20 14:15:00
272,1080,2022-11-24 14:00:00
274,1304,2023-08-23 14:00:00
275,1011,2024-03-05 19:30:00
276,636,2023-02-19 22:00:00
277,322,2024-08-22 15:15:00
278,916,2022-09-10 18:15:00
279,248,2022-01-16 09:45:00
